;_id;instance;class;frequency;pidspread;pldspread;modifications
0;141663461;b1;waveform;3;2;3;"[{""_id"":{""$numberLong"":""141663461""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":3.0,""pidspread"":2,""pldspread"":3,""pids"":""p34;p8a;"",""plds"":""confex.com;google.es;usda.gov;"",""provids"":""283396688;270354052;241885058;""}]"
1;147713771;adjective;also;3;2;3;"[{""_id"":{""$numberLong"":""147713771""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":3.0,""pidspread"":2,""pldspread"":3,""pids"":""p34;p2;"",""plds"":""archive.org;faithwriters.com;usingenglish.com;"",""provids"":""174526508;156960696;251140563;""}]"
2;270852864;advance;cattle;1;1;1;"[{""_id"":{""$numberLong"":""270852864""},""ipremod"":"""",""ipostmod"":""in the southeastern"",""cpremod"":""stocker"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23b;"",""plds"":""livestockweekly.com;"",""provids"":""27861768;""}]"
3;516170918;administration;failure,period;1;1;1;"[{""_id"":{""$numberLong"":""516170918""},""ipremod"":""super corrupt"",""ipostmod"":"""",""cpremod"":""huge"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8c;"",""plds"":""cnn.com;"",""provids"":""12417510;""}]"
4;387574181;agnium;planet;1;1;1;"[{""_id"":{""$numberLong"":""387574181""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""orbit the sun"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""wikipedia.org;"",""provids"":""449234441;""}]"
5;125471954;alam;may;1;1;1;"[{""_id"":{""$numberLong"":""125471954""},""ipremod"":""nsf president shah"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p3a;"",""plds"":""refworld.org;"",""provids"":""427077043;""}]"
6;493745276;alaska;with;5;3;4;"[{""_id"":{""$numberLong"":""493745276""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":5.0,""pidspread"":3,""pldspread"":4,""pids"":""p5;p2;p25;"",""plds"":""archive.org;loc.gov;syr.edu;replacements.com;"",""provids"":""57628507;409277661;235637522;49538950;860981;""}]"
7;134062544;anthology;member;19;4;19;"[{""_id"":{""$numberLong"":""134062529""},""ipremod"":""combustion"",""ipostmod"":""for manhattan"",""cpremod"":"""",""cpostmod"":""of the dramatists"",""frequency"":2.0,""pidspread"":1,""pldspread"":2,""pids"":""p8a;"",""plds"":""indietheaternow.com;stagebuzz.com;"",""provids"":""248271153;248281506;""},{""_id"":{""$numberLong"":""134062530""},""ipremod"":""art"",""ipostmod"":"""",""cpremod"":""board"",""cpostmod"":"""",""frequency"":2.0,""pidspread"":1,""pldspread"":2,""pids"":""p8a;"",""plds"":""rachelcorriefoundation.org;poetswest.com;"",""provids"":""215555587;449094360;""},{""_id"":{""$numberLong"":""134062531""},""ipremod"":""arkham"",""ipostmod"":""of story"",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":1,""pldspread"":2,""pids"":""p1;"",""plds"":""textfiles.com;efanzines.com;"",""provids"":""11019041;11004496;""},{""_id"":{""$numberLong"":""134062532""},""ipremod"":"""",""ipostmod"":""of latvian poetry"",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""universeofpoetry.org;"",""provids"":""41158216;""},{""_id"":{""$numberLong"":""134062533""},""ipremod"":""norton"",""ipostmod"":""oral interpretation"",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""durantdemocrat.com;"",""provids"":""456083581;""},{""_id"":{""$numberLong"":""134062534""},""ipremod"":""edit"",""ipostmod"":"""",""cpremod"":""board"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""graspingforthewind.com;"",""provids"":""173670796;""},{""_id"":{""$numberLong"":""134062535""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of the faculty"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""ucsd.edu;"",""provids"":""78186411;""},{""_id"":{""$numberLong"":""134062536""},""ipremod"":"""",""ipostmod"":""of story"",""cpremod"":"""",""cpostmod"":""of women's world"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""kennedy-center.org;"",""provids"":""171011126;""},{""_id"":{""$numberLong"":""134062537""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of brighton poetry"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""perthpoetryclub.com;"",""provids"":""298108855;""},{""_id"":{""$numberLong"":""134062538""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of the keweenaw"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""thimbleberrypress.com;"",""provids"":""147183943;""},{""_id"":{""$numberLong"":""134062539""},""ipremod"":""net"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of the sewanee"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""blacklawrence.com;"",""provids"":""71350396;""},{""_id"":{""$numberLong"":""134062540""},""ipremod"":""international bestselling thriller"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""blogspot.com;"",""provids"":""228605668;""},{""_id"":{""$numberLong"":""134062541""},""ipremod"":"""",""ipostmod"":""adirondack mystery jenny"",""cpremod"":""board"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""amazon.com;"",""provids"":""159091552;""},{""_id"":{""$numberLong"":""134062542""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of the southeast"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""gigmasters.com;"",""provids"":""398648679;""},{""_id"":{""$numberLong"":""134062543""},""ipremod"":""smithsonian"",""ipostmod"":""of jazz"",""cpremod"":""board"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""allaboutjazz.com;"",""provids"":""236227828;""},{""_id"":{""$numberLong"":""134062544""},""ipremod"":""combustion"",""ipostmod"":""for manhattan"",""cpremod"":"""",""cpostmod"":""of the dramatistsguild"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""broadwayworld.com;"",""provids"":""333482202;""}]"
8;501384948;aristocracy;few;2;2;2;"[{""_id"":{""$numberLong"":""501384948""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":2,""pldspread"":2,""pids"":""p23b;p8c;"",""plds"":""abovetopsecret.com;gutenberg.net.au;"",""provids"":""447952346;114839332;""}]"
9;447336728;barber;tourism;2;1;1;"[{""_id"":{""$numberLong"":""447336728""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""issuu.com;"",""provids"":""294765933;382306859;""}]"
