;_id;instance;class;frequency;pidspread;pldspread;modifications
0;141663461;b1;waveform;3;2;3;['p34p8a']
1;147713771;adjective;also;3;2;3;['p34p2']
2;270852864;advance;cattle;1;1;1;['p23b']
3;516170918;administration;failure,period;1;1;1;['p8c']
4;387574181;agnium;planet;1;1;1;['p8a']
5;125471954;alam;may;1;1;1;['p3a']
6;493745276;alaska;with;5;3;4;['p5p2p25']
7;134062544;anthology;member;19;4;19;['p8a', 'p8a', 'p1', 'p8b', 'p8a', 'p8a', 'p8b', 'p8a', 'p8a', 'p8a', 'p8a', 'p5', 'p8a', 'p8a', 'p8a', 'p8a']
8;501384948;aristocracy;few;2;2;2;['p23bp8c']
9;447336728;barber;tourism;2;1;1;['p5']
10;478528313;bellieve;animal;1;1;1;['p4']
11;508437025;because;unfalsifiability;1;1;1;['p12a']
12;406763901;bonnie;all;2;2;2;['p25p20c']
13;260333613;brush;maybelline;2;2;2;['p2p3a']
14;281721135;bus;gay;4;4;4;['p36p21dp8ap3a']
15;340268455;buddy;authority;1;1;1;['p3a']
16;105870566;caesar;emperors;3;3;3;['p5p23cp3a']
17;239830292;cameo;ah;1;1;1;['p8b']
18;390086334;catlin;outcry;1;1;1;['p3a']
19;469835874;car;filed;1;1;1;['p8b']
20;376011379;chica;kinky;1;1;1;['p8a']
21;341270445;cilantro;yummies;1;1;1;['p7']
22;20195798;crazed;bestseller;1;1;1;['p8a']
23;273170832;cupcake;miette;1;1;1;['p34']
24;308939360;drug;qsymia;1;1;1;['p23c']
25;493068154;dragon;move;35;10;26;['p5p34', 'p5', 'p8a', 'p21a', 'p5', 'p8a', 'p8a', 'p34', 'p10', 'p8a', 'p5', 'p8a', 'p5', 'p8a', 'p8a', 'p8b', 'p23a', 'p25', 'p8b', 'p8a', 'p34', 'p5', 'p25', 'p5', 'p2', 'p1', 'p5', 'p8b']
26;255433140;dimensions;chance;1;1;1;['p8a']
27;345889853;defender;however;15;8;14;['p5p2p1', 'p5p2', 'p23d', 'p2', 'p23d', 'p23a', 'p23e', 'p24', 'p2', 'p23d', 'p2', 'p8a']
28;499955920;despot;band;1;1;1;['p8a']
29;389050924;danmiy;best-turned-out-man;1;1;1;['p12a']
30;466309901;da';model;1;1;1;['p8a']
31;493445912;effect;nate;1;1;1;['p8a']
32;140679423;et;attitude;1;1;1;['p24']
33;413288236;everytime;location;1;1;1;['p8a']
34;14220439;execution;being;4;4;4;['p5', 'p3a', 'p2', 'p23d']
35;19194895;extent;smart-mode;1;1;1;['p36']
36;247606769;fau;week;1;1;1;['p8b']
37;249028587;fna;back;1;1;1;['p23d']
38;259366994;force;worldwhere;1;1;1;['p25']
39;448460478;format;costume;1;1;1;['p12c']
40;151188949;framework;rcsl;1;1;1;['p23e']
41;293517612;franc;december;1;1;1;['p21c']
42;99559518;gibson;agentand;1;1;1;['p8a']
43;187094011;go;cnn;1;1;1;['p24']
44;217844103;government;progressive-thinking;1;1;1;['p8a']
45;264496263;god;punishing;3;2;3;['p8ap8b']
46;241382009;hay;extravagance;1;1;1;['p8b']
47;47216484;hitler';struggle;1;1;1;['p5']
48;212035232;hmm;couple;44;4;41;['p8ap8cp8b', 'p8dp8c', 'p8c', 'p8a', 'p8c', 'p8c', 'p8a', 'p8d', 'p8c', 'p8c', 'p8a', 'p8c', 'p8b', 'p8b', 'p8c', 'p8d', 'p8c', 'p8c', 'p8d', 'p8c', 'p8d', 'p8b', 'p8c', 'p8c', 'p8c', 'p8a', 'p8b', 'p8c', 'p8c', 'p8d', 'p8b', 'p8c', 'p8c', 'p8c', 'p8d', 'p8c']
49;470574566;hoe;rhyme;1;1;1;['p26']
50;60227688;humanity;congress;3;2;3;['p23b', 'p26']
51;242175943;ic87361;derivative;1;1;1;['p8a']
52;74419741;inhaler;home;3;3;3;['p34p25p3a']
53;277124217;intelligent;similarly;1;1;1;['p25']
54;98432274;ip;restraint;4;2;3;['p8b', 'p8b', 'p3a', 'p3a']
55;94512143;leaf;speed;13;6;11;['p5', 'p21a', 'p8c', 'p3a', 'p8a', 'p24']
56;63424816;locality;identification;3;2;3;['p5p3a']
57;25922572;luminance;replica;1;1;1;['p8a']
58;258819480;lying;accordance;3;1;3;['p27b']
59;254402254;macadamian;google;1;1;1;['p8a']
60;255438075;manufactur;effect;1;1;1;['p26']
61;439633123;madsen;selling;1;1;1;['p12a']
62;488933457;marine;poet;1;1;1;['p8a']
63;158382712;230mb;luxury;1;1;1;['p8a']
64;39599316;meaning;blank;3;3;3;['p28ap8ap8b']
65;122397072;method;loose;1;1;1;['p8a']
66;240306668;means;produce1988-10-25wade426/2634764389method;1;1;1;['p24']
67;268863945;meeting;jersey;4;2;3;['p8b', 'p8b', 'p3a']
68;333921256;methamphetamine;away;1;1;1;['p5']
69;507206333;messenger;righteousness;1;1;1;['p21a']
70;233513443;mfp;general;2;1;1;['p5', 'p5']
71;128582547;mimo;yes;1;1;1;['p3a']
72;220978109;mississippus;songwriter;3;1;3;['p8b']
73;72434795;mottley;case;1;1;1;['p1']
74;384237222;mountain;self;10;1;9;['p8a', 'p8a', 'p8a']
75;489513045;morley;many;2;1;1;['p3a']
76;493902099;monday;duke;1;1;1;['p4']
77;225431068;myers;brennan;1;1;1;['p23b']
78;6969816;name;pertien;2;1;1;['p3a']
79;254358306;newsletter;senior;1;1;1;['p28d']
80;63817575;normalization;priority;4;1;4;['p8a', 'p8a', 'p8a', 'p8a']
81;136779256;northwest;safety;1;1;1;['p8a']
82;365932273;north;scrub;4;4;4;['p23a', 'p8b', 'p25', 'p23d']
83;121767221;number;might;11;7;9;['p2', 'p16', 'p16', 'p3a', 'p16', 'p3a', 'p8a', 'p23b', 'p23d', 'p8a', 'p28d']
84;382170021;13-of-15;line;2;1;2;['p3a', 'p3a']
85;265538957;ok;instructer;1;1;1;['p8b']
86;433632020;orlando;kessler;1;1;1;['p3a']
87;231204127;other;tsunami;3;3;3;['p8ap8bp3a']
88;186075885;pakistan;ex-colony;2;2;2;['p5p1']
89;243735969;parable;aggression;1;1;1;['p28c']
90;298293257;paula;surprise;2;2;2;['p8d', 'p8a']
91;380899753;paycheck;meal;2;2;2;['p8ap8b']
92;265625812;pc;applicatio;1;1;1;['p8a']
93;139132257;photobucket;editing;9;3;9;['p5', 'p5p8a', 'p5', 'p4']
94;243760643;philips;exaltation;1;1;1;['p5']
95;450286725;pm;synesthesium;2;2;2;['p28dp43']
96;76709207;poverty;muse;1;1;1;['p36']
97;209693125;pub;orhave;1;1;1;['p4']
98;184025665;recalled;valentine;1;1;1;['p8b']
99;404231247;rhythm;elf;1;1;1;['p21a']
100;92172679;rmah;image;1;1;1;['p3a']
101;201894924;roark;rest;3;2;3;['p3a', 'p21a']
102;390484094;schwab;beyond;1;1;1;['p8a']
103;482339352;sciences;cradle;1;1;1;['p8a']
104;268660971;seconds;warmth;2;2;2;['p8b', 'p28a']
